row,Movie Name,Genre,Plot
2714 ,Z Foundation Earth ,action,"Z Foundation Earth  :  The movie is about a secret organization that the FBI is investigating because the leader of the organization wrote a letter to the white house saying he was going to kill the president. Some friendly aliens come down to earth to warn the president of a attack from outer space. The organization, aliens, and the us navy will defend the earth against the oncoming attack from outer space"
2838 ,Reversion ,sci-fi,"Reversion  :  After she is murdered, a white female detective goes covertly undercover by having her memories uploaded into the body of a black man in order to infiltrate the criminal syndicate responsible for her death. Meanwhile, another copy of her memories are uploaded into a new body, tasked with bringing down the very same syndicate."
2900 ,Company of Heroes: Opposing Fronts ,action,"Company of Heroes: Opposing Fronts  :  Company of Heroes: Opposing Fronts is the next chapter in the critically acclaimed Company of Heroes series. Players can now take command of the German Panzer Elite as they defend the Fatherland against the forces of Operation Market Garden, or lead the British 2nd Army in their struggle to liberate the city of Caen."
2935 ,"Affectionately Yours, Screwtape: The Devil and C.S. Lewis ",history,"Affectionately Yours, Screwtape: The Devil and C.S. Lewis  :  Did God give each person free will? Who is Satan? Can good truly overcome evil? Consider these questions and more as we journey inside the mind of C.S. Lewis in this introductory review of one of the great Christian literary works of the 20th century. The Screwtape Letters, a thin volume of imaginative letters between two devils, has given millions of readers insight into conquering everyday spiritual struggles. Join us as we explore the Biblical, historical and cultural depictions of Satan and hell and gain a deeper understanding of the nature of temptation and redemption. Whether you're a devoted C.S. Lewis fan or just reading his work for the first time, you're sure to develop a new appreciation for The Screwtape Letters through this modern look at his timeless classic."
2985 ,ISIS: Enemies of Humanity ,action,"ISIS: Enemies of Humanity  :  ISIS Enemies of Humanity is an upcoming International Film based on terrorism. The film is releasing in 2017 across the globe. The subject of the movie is very intense in nature. The need of the hour is to understand the mindset behind the terrorist attacks across the globe. The recent attacks in London, Turkey, France, India and others have been very fearsome. The global audience needs to understand the psyche behind ISIS. Why? Who? When? How? these questions about terrorists trouble us immensely. We need to eradicate this fear.We need to bring humanity to the fore. The film ISIS Enemies of Humanity brings this burning topic to the world.Watch out for the film .Coming Soon."
3068 ,The Silent Force ,action,The Silent Force  :  An elite Federal force whose objective is to eliminate organized crime is violently assassinated by an evil Asian crime lord. The sole survivor of the group teams up with his late partner's widow to strike back at the crime lord and his son.
3108 ,"""The Re-Inventors"" ",history,"""The Re-Inventors""  :  For centuries the high ground and the ability to attack from above held military advantages. Now, The Re-Inventors have found an invention that would allow a commander to launch an attack from the sky, and rain down explosive fire-arrows on a helpless enemy! Join Matt and Jeremy as they combine13th century Chinese fire arrow technology with a 17th century Japanese kite design to see if they can command the battlefield with this amazing device."
3241 ,Thieves of Fortune ,action,"Thieves of Fortune  :  In this action-packed romantic adventure story, a beautiful woman must perform feats of bravery in order to inherit a $28 million fortune and win the man she loves. Lots of stunts featuring planes, motorcycles, cliff diving, alligator wrestling and gun battles."
3277 ,In Search of History: The Night Tulsa Burned ,history,"In Search of History: The Night Tulsa Burned  :  Long-buried tale of the tragic hours that brought Greenwood to a fiery end, and the misunderstanding that started when a white elevator operator accused 19-year-old Greenwood resident Dick Rowland of assault prompted the violent race riot. Eyewitness accounts, archival film, and dramatizations recount the 1921 race riots in Tulsa."
3443 ,Kingdom: Fall of Illandrieal ,fantasy,"Kingdom: Fall of Illandrieal  :  Kingdom: The Fall of Illandrieal is an Action, Fantasy Adventure Movie, that follows the quest of a group of commoners on a journey across many Kingdoms to raise an army able to defeat the evil Legion. Follow Balfour and his group of friends as they risk it all, encountering strange creatures and deadly terrain as they make their way to their destination avoiding the Legion at all costs."
3484 ,The Testing Block ,western,"The Testing Block  :  The tough outlaw 'Sierra' Bill falls in love with the traveling girl violinist Nelly Gray. Sierra forces her into marrying him. They have a child, but family life is interrupted by the gambler Ringe, who not only persuades Nelly to leave her husband but ruins Sierra at the gaming table. With thoughts of vengeance, the angry Sierra breaks out of jail and goes after Ringe."
3488 ,Saga of a Crew 2008 Special Edition ,sci-fi,"Saga of a Crew 2008 Special Edition  :  The Earth 3rd Expeditionary Fleet in search of new resources suffers a mishap and the Commanding Admiral must dispatch a hastily assembled 3 man team on a desperate mission to an uncharted region of space to obtain a vitally needed material for the ship's generators. The 3 man crew aboard 2 spacecraft crash land on a desolate planet, where they struggle to repair the damaged spacecraft and complete their mission before time and sanity run out."
3638 ,Children of Others ,sci-fi,"Children of Others  :  A barren woman finally conceives with the help of a mysterious fertility clinic, only to discover that she is bearing a hybrid alien baby. Fleeing from pursuing agents, she has to decide if her newborn child is the precursor to an alien invasion or the only hope of mankind."
3681 ,Go-Go Girls of the Apocalypse ,action,"Go-Go Girls of the Apocalypse  :  Mortimer Tate rode out the end of the world. Go-Go Girls of the Apocalypse begins , when he emerges into a bizarre landscape filled with hollow reminders of an America that no longer exists. What little civilization remains revolves around Joey Armageddon's Sassy A-Go-Go strip clubs, where the beer is cold, the lap dancers are hot, and the bouncers are armed with M16s. Accompanied by his cowboy sidekick Buffalo Bill, the gorgeous stripper Sheila, and the mountain man Ted, Mortimer journeys to the lost city of Atlanta -- and a showdown that might determine the fate of humanity."
3697 ,Once in a New Moon ,sci-fi,"Once in a New Moon  :  When the small town of Shrimpton-on-Sea is dragged out into space by the force of a 'dead star' passing Earth, the populace try to organise a local government based on equal rights for all, but conflicts arise between the local aristocracy and the villagers."
3894 ,Wages of Sin ,action,"Wages of Sin  :  ""Wages"" is the story of a sting operation gone array and a botched assassination attempt that leaves Johnny ""Trigger"", AKA deep cover officer Nathan Matthews framed for aiding and abetting in the murder of undercover officers, Tarantino and Rodriguez and for the slaughter of several FBI agents. To clear his name he must go on the run. Not knowing who to trust Matthews befriends Teresa, a hooker who wants out of the street life. As luck would have it she's got the goods on Nathan's previous mark, up and coming drug kingpin Eric Constantine. Matthews must find the dirty cops who betrayed him, protect Teresa, evade goons, hit teams, and an infamous assassin called ""Mona Lisa""."
4087 ,Merrily We Roll Along: The Early Days of the Automobile ,history,"Merrily We Roll Along: The Early Days of the Automobile  :  This historical documentary covers the development of the automobile and roadways from about 1900 to 1939. Narrated by Groucho Marx we see how the horseless carriage supplanted the horse and streetcar in American life. Vintage photos and video as well as reenactments of daily life with electric, internal combustion and steam automobiles and the rutted, muddy roads that began to snake out from city to country. Groucho Marx make use of his wit to bring into the light that period of Americana."
4096 ,The Search for Shana Star ,western,"The Search for Shana Star  :  The desolate, harsh and untamed American West of the 1890's is the backdrop for this blood bathed story of redemption and revenge. Upon returning home to find his wife dead and his daughter gone, aging outlaw Mathew Star sets out rescue his kidnapped daughter from the clutches of a rage filled, one armed desperado who is seeking retribution. As Mathew traverses the wild frontier he recruits the unlikely help of an overly ambitious Deputy Marshall and a crazed British prostitute. Together they will form an unlikely alliance to survive."
4251 ,Army of Two ,action,"Army of Two  :  Tyson Rios and Elliot Salem are two ex Army Rangers turned contractors for SSC, a Private Military Corporation. They take on various individuals and organizations located all over the world. Fight after fight, they realize that the wonderful life of a PMC at SSC might not be as clean as they thought it was is."
4283 ,The War of Loong ,action,"The War of Loong  :  The movie is based on a real historic event. During French's invading war against China in 1885, the French army took over Zhengnan Guan located in the Guangxi Province. Wishing to protect their beloved country, the 70 years old General Feng Zicai and his two sons volunteered to join the battle. The general understood it would be a difficult battle to win as the French soldiers held much more advanced equipment, resources and weapons. To show his devotion and determination, he brought his own coffin alongside with him to the war zone. He also utilized his experience with the Zhangnan Guan terrain to pave out strategies, made weapons applicable to their situations. These actions bolstered the morale tremendously, and prepared them well for the war. As a result, although the Chinese soldiers sustained heavy losses, they turned the tide of the battle and won."
4360 ,Not Even the Devil ,action,"Not Even the Devil  :  For the past two years Bounty Hunters Jack Freeman and his partner Brett Gill have been trying to capture the sneaky and bold bounty Miguel Torres without success. In his obsession Jack goes after Miguel into a land where not even the devil dares to go into. Jack begins to transform little by little into the same thing he's always been after. The only hope for Jack is that Brett reaches him before it's too late. For the past two years, Bounty Hunters Jack Freeman (Rodolfo Rodriguez) and his partner Brett Gill (Isaac Santiago) have been trying to capture the evasive and bold bounty target Miguel Torres (Jorge Alberti). In his obsession, Jack pursues Miguel into a place where even the devil dares to go. As he nears his target, Jack evolves into the devil's world to battle for his future and bounty rewards. While his past closes in on him, the only hope for Jack is that Bret reaches him before it's too late."
4534 ,The History of University of Kentucky Basketball ,sport,"The History of University of Kentucky Basketball  :  Since its inception in 1902, the University of Kentucky Basketball program has amassed 1,948 wins against only 608 losses for a staggering 76.2% winning percentage. No other school has as many wins or a greater all-time winning percentage, not UCLA, not UNC, Indiana or Duke. Kentucky's accomplishments don't end there however. 7 National Championships, 13 Final Four Appearances, 46 NCAA Tournament appearances, 139 NCAA Tournament Games, 43 SEC Championships and 25 SEC Tournament Championships have clearly established Kentucky basketball as one of the greatest programs in all of sports in the U.S., college or professional. These impressive numbers are very much part of the tradition and glory that surround University of Kentucky Basketball. However, just as much a part of this tradition is the players and coaches who have guided the program over the years. Legendary coaches like Adolph Rupp, Joe B. Hall, Rick Pitino and Tubby Smith. Players such as Louie Dampier, Dan Issell, Pat Riley, Jack ""Goose"" Givens, Kyle Macy, Sam Bowie, Kenny Walker, John Pelphrey, Rex Chapman, Jamal Mashburn, Ron Mercer, Tony Delk, Tayshaun Prince, Keith Bogans and many more. Own this extraordinary piece of University of Kentucky Basketball history and relive some of the greatest moments of one of college basketball's more storied programs."
4569 ,Balance of Power ,action,"Balance of Power  :  A martial arts expert who runs a dojo for under-privileged kids from a dilapidated warehouse is shaken down by gangsters demanding protection money. Then when one of his students is gunned down in the street by the gang, he swears revenge. Meanwhile the gang leader is setting up a death match between the best fighters and is forcing a former trainer to find a new champion by threatening his granddaughter."
4635 ,Savannah in the Civil War ,history,"Savannah in the Civil War  :  Combining years of historical research with fast-paced action and dizzying detail, Savannah in the Civil War includes countless rare historic images and interviews with numerous historians and experts to make this pivotal period in Savannah's history come alive."
4667 ,The Red Stallion ,western,"The Red Stallion  :  Yong Joel Curtis finds an orphaned colt in the woods, whom he names ""Red"" and raises and trains him. When he learns that his grandmother is going to have to sell her ranch to pay off the debts, he trains Red, with the help of Andy McBride, as a race horse with the intention of selling his beloved animal friend in order to pay off his grandmother's debts."
4862 ,Supergirl & the Bloody Traces of Stargirl ,action,"Supergirl & the Bloody Traces of Stargirl  :  The plot of the story is that Stargirl is bitten by a bat and becomes a vampire and goes on a killing spree in a 10 year span dating back to 2004. The story then shifts and takes us to the present time which is 2014 and word on the street is that Stargirl is on the prowl again in the town of Lakeland and also witnesses have said that she has been hiding out at the now closed off Mark Luthor's Pool house for the last 6 months and when a law enforcement agent or other superheroines go to the area to search the grounds, she bites them and drowns them in the pool. So far in that 6 month span, 2 law enforcement agents and 11 superheroines have been Stargirl's fatal victims. It has baffled law enforcement for some time. Supergirl aka Jacklene Kent , mild mannered reporter is new to this story cause she had been out of the country for the last 6 months covering the Olympics and the G2 summit for her newspaper. She gets wind of it on first day back and determined to put a stop to the killings and try to convert Stargirl back to her normal self. Now my plan for this video is that she teams up with a special military agent name Melissa Bennett. Now, the idea is for Supergirl and Agent Bennett to put a stop to it and try cure and restore Stargirl back to her normal self. But, little do they know that Stargirl's has something up her sleeve for both of them. What will happen to all 3? You'll have to watch and see for yourself."
4885 ,The Mountain of the Lord ,history,"The Mountain of the Lord  :  A newspaper reporter from New York City visits with Wilford Woodruff, fourth president of The Church of Jesus Christ of Latter Day Saints after the death of John Taylor, to recount the history of the construction of the Salt Lake Temple in the late 1800's."
4924 ,Dale Evans: Queen of the West ,western,"Dale Evans: Queen of the West  :  Just saw this ep on my Roku in Pilot TV site. It was fairly good .. Had Dale as a Annie Oakley type. No Roy in this. Pat Brady is cast as a DUMB sidekick on a Mule. Maybe where Festus got Idea for his riding one. Lots of action and shooting in this ep. I think it would have been a great series.A different horse than Buttermilk too. Almost like Trigger doing riding tricks and stunts. She was completely different in the Roy rogers Show than this , So Roy would stand out on his. Wishing this could have made into a series.. Interesting to watch.. Was made 2 years before I was born by the way."
5022 ,Molly and Lawless John ,western,"Molly and Lawless John  :  Molly, the shy, romance-starved wife of an arrogant frontier sheriff, finds herself drawn to a prisoner in her husband's jail. This prisoner, a handsome young man named Johnny, plays on Molly's sympathy and convinces her to help him escape. Molly then accompanies Johnny on his cross-country flight but soon learns he's simply been using her. Molly makes the best of the situation, however, and by the time the sheriff's posse catches up with them, Molly shows that she's learned how to assert herself."
5040 ,The Old Barn Dance ,western,"The Old Barn Dance  :  Sally Dawson gets Gene to sign a contract to sing on her struggling radio station. Gene is selling horses and unknown to him the sponsor of his program is the tractor company he is competing against. When the ranchers that bought tractors can't make their payments and Maxwell forecloses, the ranchers blame Autry."
5060 ,"""The StarWars Adventures: Project Blackwing"" ",sci-fi,"""The StarWars Adventures: Project Blackwing""  :  After splitting the Battalion into four companies, Thunder Company, under the command of Captain Mandeville,was sent to investigate Decks 300 to 600. To achieve this in the quickest possible time, Captain Mandeville cuts the company into four platoons. We join Lt. Tyron on Deck 550 as he briefs shield platoon.."
5093 ,Return of the Monster Trucks ,sport,"Return of the Monster Trucks  :  The Second original Monster Truck video returns with spectacular old-school action on the First Ever monster truck obstacle course, side-by-side car crush drag racing competitions, and unbelievable close-up car crunching . See a monster truck help capture a bad guy by crushing a mobile home, monster truck racing on water, mini-monsters, more. Meet the drivers-own a piece of monster truck history."
5112 ,The Healing Project ,romance,"The Healing Project  :  The Healing Project is a medical docucomedy about a cardiac research team who gets sidetracked from their daily routine during a bet between two doctors, one a skeptic and the other more spiritual. Their bet scientifically challenges the effectiveness of spiritual healing. In an effort to devote more time to his two passions, sailing and getting laid, Dr. Manning makes a bet with his boss, Dr. Bennett, that will scientifically test spiritual healing. Manning thinks it will be easy to debunk the ancient healing practices of the Native Americans, but he's in for a surprise. Bennett uncovers powerful evidence that proves many Native American healing rituals stand up to scientific scrutiny. Western science has even adopted some of their remedies. Manning realizes he's about to lose the bet, so he turns on the charm and convinces their research coordinator, Jeannie, to come up with research that contradicts Bennett's sources. Both doctors prove their points. In the end, the viewer decides who won the bet."
5182 ,Medal of Honor ,action,"Medal of Honor  :  In the Oval Office with President Obama, 3 Old Soldiers finally get the Medal of Honor they earned 40 years earlier. When one learns his granddaughter has been kidnapped by a Mexican Drug Cartel, all 3 Old Warriors travel to Mexico to rescue her."
5189 ,The Painted Desert ,western,"The Painted Desert  :  Western pardners Jeff and Cash find a baby boy in an otherwise deserted emigrants' camp, and clash over which is to be ""father."" They are still bitterly feuding years later when they own adjacent ranches. Bill, the foundling whom Cash has raised to young manhood, wants to end the feud and extends an olive branch toward Jeff, who now has a lovely daughter. But during a mining venture, the bitterness escalates. Is Bill to be set against his own adoptive father?"
5221 ,A Loving Gentleman ,romance,"A Loving Gentleman  :  This is the love story of renowned writer William Faulkner and his muse and ""Hollywood wife,"" Meta Carpenter, which continued for eleven years during Hollywood's heyday in the 1930's and 1940's. Faulkner, already famous and critically praised as a novelist but unable to meet financial obligations, reluctantly accepts a writing assignment in Hollywood for film director Howard Hawks. He leaves behind in Oxford, Mississippi his modest plantation home, Rowen Oak, his alcoholic wife, Estelle, a young daughter, Jill, and two stepchildren. In Hollywood he meets and is immediately attracted to Hawks's young and charming script girl, Meta Carpenter. When he discovers she had also grown up in the Southern Delta like himself, he becomes further captivated. Meta is reticent about Bill being a married man and Bill feels guilty about betraying his family commitments, but their attraction is so strong that they fall into a passionate love affair. Wife Estelle soon joins Bill in Hollywood, and she picks up clues that her husband is being unfaithful but doesn't know who the other woman might be. Bill and Meta continue to meet secretly even while Estelle is in Hollywood. He even brings his daughter, Jill, with him when he and Meta go on swimming dates or on picnics. Meta feels awkward and remorseful, but her love for Bill grows ever stronger, and she throws caution to the wind. Meta discovers she's pregnant with Bill's baby. Without informing Bill she is pregnant, Meta has an abortion. Bill, later learning of this, goes on a drinking binge that ends with him having to enter a dry-out sanitarium. Meta realizes that Bill is not taking steps to get a divorce, primarily due to Estelle's threats to banish him from ever seeing his daughter again and ruining him financially and socially in Mississippi. Meta resolves to break off their affair and succumbs to a marriage proposal from Wolfgang Rebner, a respected and talented Jewish pianist. She travels with him to his homeland in Germany. But the fear of the rise of Hitler and personally witnessing the upsurge in persecution of Jews make them flee back to America. Meta's marriage becomes rocky partly because of Rebner's behavior due to his insecurity and disillusionment in finding work in the studios, and also because Meta realizes that her love for Bill is still powerful. They agree to a separation. Meta continues to work steadily at the studios but finds it insulting for women doing a job such as hers in the industry being called script ""girls."" She organizes and wins a hard fought battle against the studio system that results in the position to be now referred to as ""Script Supervisor."" Bill, feeling miserable at being deprived of time to write his novels and being forced to write what he considers second-rate screenplays just to keep sending money back to Mississippi, begins to put a strain on his relationship with Meta. He knows that staying in Hollywood will destroy him as a serious novelist, and he must make the difficult choice between staying in Hollywood with Meta or returning to his home in Oxford, Mississippi. William Faulkner returns to Rowan Oak to write some of his finest novels and eventually winning the Nobel Prize in Literature. Meta Carpenter continues working in Hollywood as script supervisor. Bill and Meta continued to correspond and remained friends until his death in 1962."
5275 ,Trails of Danger ,western,"Trails of Danger  :  The correct title of this film (on the film, the posters, the lobby cards and the press book) is ""Trails of Danger"" while ""Trails of Peril"" was a working title that appeared in a trade publication that was printed before the film was released as ""Trails of Danger. "" Consequently, some sources think, because ""Trails of Peril"" appears in a print source as the title, that ""Trails of Peril"" is the actual title because that title also appears in an often-unreliable catalog, put together by file clerks who copied it from the original trade source. It isn't. Whatever. Anyway, Bob Bartlett returns from WWI with little but medals, but is anxious to do something significant before facing his father, U.S. Marshal Bartlett. Bob saves Mary Martin and her father John Martin from an attack by two outlaws, and he later finds a beautiful horse that belongs to a bandit, although he (Bob, not the horse) doesn't know it. The horse doesn't seem to know it either. First rattle out of the box, Bob, now riding Starlight,gets into trouble the next day when the stagecoach arrives, as the horse is identified as the one rode by the leader, Butch Coleman, of the bandits who held up the stage. Bob makes his escape, evades the posse led by Sheriff Johnson and sets out to capture Coleman and his gang and win the heart of Mary. He does so, and as he claims the reward and Mary, he is discovered as the son of the Marshal paying the reward."
5291 ,Alien Blast the Encounter ,action,"Alien Blast the Encounter  :  The year is 2060 and the action takes place on a remote and isolated planet. In the distant frontiers of space, a large allied force well beyond the reach of Earth maintains civilization. The aim is to conquer and defend distant planets for the new civilization. The crew of the commercial starship MBK03 has been alerted to investigate a distress call from an allied planet. After landing on your ally's planet, Rexus, the crew, you, discovers that the signal is actually a warning. It was the warning to abandon the planet. But it is too late to turn back and the terror begins when you first encounter an alien during your investigation. Defend your allied planet against the alien raid. This is your mission! Far from the reaches of your solar system, you are all alone in an assignment to battle the alien horde. As a member of the allied forces, everyone is relying on you. Most of your allied forces have been destroyed, and this will be your most difficult mission yet. It's up to you to defend the planet. Do you have the backbone to confront it? In this first-person view arcade shoot'em up, you must gather up all your courage to defend yourself and defeat the enemy, the aliens."
5430 ,Rough and Ready ,western,"Rough and Ready  :  In New York, Bill Stratton saves a friend's marriage, but Bill's fianc̩e, Evelyn, misinterprets the situation and believes Bill to be unfaithful to her. She breaks her engagement, and Bill, in remorse, goes to Alaska. In the town of Yellow Gulch, Bill meets ""Silver"" Jack Belmont, the man responsible for nearly ruining the marriage of Bill's friend. Bill also learns that an old miner named ""Lucky"" Matthew Durant is Evelyn's father. Durant has been lying to his daughter, claiming he is rich. Bill tells Evelyn the truth about her father, but she does not believe him. Instead, she believes Belmont when he says he will take her to her father's mine. Eventually, Bill and Belmont confront each other and Bill defeats Belmont in a fight. Bill then reconciles Evelyn and her father."
5434 ,Stage to Blue River ,western,"Stage to Blue River  :  Marshal Whip Wilson and his pal, Texas, come to the aid of Joyce Westbrook after her father is killed by henchmen of a mysterious Mr. Blackwell, who is after the stage line contract left to Joyce. She tries to get a government mail contract, but one of the conditions is that her stage line must be proven safe. Whip, Texas and Ted Crosby have several battles with the outlaws, and Whip learns that attorney Kingsley is one of the plotters and, with the help of the postmaster, he discovers that Mr. Blackwell is really Sheriff Bill Preston."
5461 ,Demon with the Atomic Brain ,sci-fi,"Demon with the Atomic Brain  :  An attempt to weaponize a machine capable of opening portals to other worlds fails, and instead creates an exponentially expanding ""bubble"" of fractured space-time. A team of specialists must enter the disturbance and make their way down a rabbit hole of increasingly more dangerous alternate realities in the hopes of finding and shutting down the machine which created it. However, someone-or SOMETHING-seems determined to stop them before the ""bubble"" engulfs the entire universe itself."
5556 ,The Saga of Hemp Brown ,western,"The Saga of Hemp Brown  :  Ex-army sergeant Jed Givens and his gang rob an army payroll shipment led by Lt. Hemp Brown. Givens kills a civilian woman and all the soldiers, leaving Brown alive to face a military tribunal in which he is branded a coward, stripped of all insignia and drummed out of the army. Brown sets out to track down Givens in an effort to clear his name."
5586 ,Dance of the White Tiger ,action,Dance of the White Tiger  :  The journey of a troubled woman burdened by the loss of her father and a life that seems to be heading nowhere. She travels to Thailand for her father's funeral where she is caught up in the seedy underworld and the deadly art of Muay Thai.
5663 ,Ride in the Whirlwind ,western,"Ride in the Whirlwind  :  Wes, Vern and Otis are three cowhands on the way to a cattle drive. Coming upon what is to be an omen of their future... an outlaw hung by a group of vigilantes...the trio finds shelter at a cabin, only to discover that their ""hosts"" are men who have robbed a stagecoach and killed the guard. When an avenging posse attacks the cabin, Wes and Vern escape, only to find that they have become branded as 'outlaws' by the posse, who relentlessly pursue them."
5805 ,Planet of the Vampire Women ,sci-fi,"Planet of the Vampire Women  :  A crew of mostly female intergalactic pirates pull off a daring heist on a floating casino space station. The pirates elude capture by the police by landing their spaceship on an uninhabited planet. However, said planet turns out to be a nightmare world that's overrun by all kinds of dangerous creatures."
5868 ,America's Iliad: The Siege of Charleston ,history,"America's Iliad: The Siege of Charleston  :  Mike Kirk has produced a powerful documentary about one of the most pivotal and heroic military campaigns in history - the battle for Charleston, South Carolina during the American Civil War and the swath of destruction and social upheaval it created for its citizens. Kirk looked to the ancient Greek poet, Homer for insight into the minds of warriors. The film presents military leaders, civilian diarists, free African Americans, and slaves. Using the latest HD photographic technology, engaging animation, and compelling reenactments, Kirk brings the story of America's Iliad to"
5887 ,Ecstasy of Gold ,western,"Ecstasy of Gold  :  Butch is a bounty hunter who just wants to get paid an honest amount for an honest day's work; his chattel, morally corrupt Rattler Fenton just wants to cash in on his well hidden and - to hear him tell it - hard won gold. As Butch navigates an increasingly magical West in search of payment he is joined by a quirky band of outcasts and outlaws -including beautiful, ferocious Akemi - and terrorized by the entirely evil but not entirely human Mondego gang. Through Butch we learn the very real consequences of greed as he watches the pursuit of the ecstasy of gold. Butch, a gun slinging bounty hunter, gets caught up in a violently competitive hunt for a stash of gold when outlaws find out about his mysterious map. While trying to get paid he must saddle up to stop these outlaws and collect what's his. Bullets fly as guns are drawn and fights break out, anyone who stands in Butch's way will be killed."
5906 ,The Vanquished ,western,The Vanquished  :  A Southern States official returns home after the Civil War and has to see that in his village the law is in the hands of a few scrupoulos people.
5913 ,The Fighting Ranger ,western,"The Fighting Ranger  :  When Cougar and his gang cross the border for a raid, they kill Jim's brother Bob. Jim takes leave from the Rangers and crosses back into Mexico posing as a wanted outlaw. He joins up with Cougar hoping to lure him and his gang back across the border where they can be arrested."
5961 ,Battle Jitni: The Danger Element ,action,"Battle Jitni: The Danger Element  :  A member of a secret order of crime fighters and his estranged sister take on the mob and a troubled scientist in pursuit of the stolen Danger Element, which they believe has the power to bring their father back from the dead."
6098 ,"""The Face Behind the File"" ",history,"""The Face Behind the File""  :  Between 2003-2005, nine half-hour episodes of ""The Face Behind the File,"" oral history series about veterans' battle experiences from World War II to present conflicts. Including: ""Green Berets in Vietnam"", ""Nurses"", ""Tuskegee Airmen & Triple Nickle"", ""Veterans in V.A."" ""American Indian Veterans"" ""Korean War"" ""World War Two Pacific"" ""Veterans with Disabilities"", and ""Prisoners of War"". ""Korean War"" won two Telly Awards, Videographer Award, and CINE Golden Eagle."
6104 ,The Wereth Eleven ,action,"The Wereth Eleven  :  The Wereth Eleven retraces the steps eleven black GI's from the 333rd Field Artillery Battalion took when their unit was overrun by Germans at the start of the Battle of the Bulge. Their 10-mile trek from their battery position to Wereth, Belgium would be the last journey of their lives as a local resident turned them in to an SS scouting party. Subsequently all eleven were butchered and killed in one of the least understood, as well as unknown, war crimes of WWII."
6145 ,Girl from the West ,western,"Girl from the West  :  At an eastern college the girl, ( Juanita Hansen ) meets a boy who loves her. But the girl thinks continually of a boy who lives out west. The easterner goes out west and shows his bravery, living down the reputation of tenderfoot and capturing notorious cattle rustlers as well."
6160 ,"Matt Mercury, Plot of the Galactic Mastermind ",sci-fi,"Matt Mercury, Plot of the Galactic Mastermind  :  MATT MERCURY, PLOT OF THE GALACTIC MASTERMIND In the future of our dreams, there lurks a villain from our nightmares. Matt Mercury and his Rocket Rangers encounter a mutant super-genius, called Professor Brainwave, who is on a mission to steal the Earth. Brainwave is from a mysterious region of space, known as the Alpha Zone and he is under the control of a giant one-eyed brain called the Galactic Mastermind. Mercury is more concerned about the affections of his half human, half house cat girlfriend, Mulkress Dunner. Pressure builds on Mercury when Mulkress is kidnapped, along with the Earth. Will Dr. Syfer's robotic Lima Beans save the day? Can a cranky robot, an ape scientist, an inarticulate Cyclops, a molten man in an iron mask, a self-absorbed battleship Captain, an eight-year-old boy or a disaffected girl side-kick do any better? Will Matt, see justice prevail... or at least get a call back from his girlfriend? The incomprehensible becomes evident in Matt Mercury, Plot of the Galactic Mastermind!"
6229 ,Stopping Power ,action,"Stopping Power  :  During a tension-filled European vacation with his daughter and young girlfriend, an American unluckily crosses paths with an international thief whose car has been spotted by the police. The thief kidnaps the daughter and forces the father to drive the getaway car as a decoy for the police, resulting in a lethal, high-speed chase on the legendary no-limit German Autobahn and through the streets of Berlin."
6242 ,The Fifth Expedition ,action,"The Fifth Expedition  :  In the 100 years after the end of the world, the survivors and their descendants have settled in and around old, but still functional, production facilities for food and shelter. When one of these ancient machines breaks down, the community that had settled around it sends out expeditions into the unexplored depths of the facility to try and bring it to life again. The first 4 of these expeditions have never been heard from again, and the machine continues to stay silent. Now, with barely any manpower or equipment left, the fifth expedition is the communities last hope for survival. As the leader of the Fifth Expedition, you will have to overcome the dangers within the machine and guide your team of explorers safely through its treacherous depths."
6280 ,Action Slate ,sci-fi,"Action Slate  :  A dashing mercenary joins forces with an alien bounty hunter to prevent a hostile invasion from acquiring a powerful new weapon. When he's ordered to kill her and steal the weapon, he must choose between love or betrayal, in a last ditch effort to redeem himself."
6591 ,"""The Past Lives Project"" ",sci-fi,"""The Past Lives Project""  :  A troubled young man's sudden visions of an alternate time force him to decide between fight or flight. A young woman has constant visions of a distant past she feels strangely connected to. A meeting with a stranger forces her to confront demons of old. A single woman who uses an app to reconnect with a love from a past life, is led on a journey through memories and discoveries which pose the question: Is the love you once knew, the love you'll know today?"
6686 ,Lord of the Nutcracker Men ,fantasy,"Lord of the Nutcracker Men  :  A boy plays war games with his toy maker father's hand-carved wooden soldiers and finds the events are uncannily echoed in the very trenches where his father fights. Does the fate of these battles, and thus the life of his father, lie in the hands of his son?"
6725 ,Robin Hood of Texas ,western,"Robin Hood of Texas  :  When the bank is robbed, Gene and the boys are singing nearby and the Chief arrests them as gang members diverting attention but lets them go thinking they will lead them to the others. Duke Mantel double-crosses the rest of the gang and with the money, accidently heads for the dude ranch where Gene is. The rest of the gang eventually show up to retrieve the money just as Gene and the boys find themselves locked in a building."
6749 ,The Outcasts of Poker Flat ,western,"The Outcasts of Poker Flat  :  The owner of a gambling hall is entrusted with the care of a pretty young girl. He falls in love with her, but he must decide whether to let her go to his best friend, with whom he believes her to be in love, or to try to win her for himself."
